shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former
0.0007557,-0.0047622,0.0000320,0.0000775,0.0002117,-0.0000962,0.0001987,0.0001028,-0.0001006,0.0001956,-0.0001781,-0.0000145,0.0000383,0.0000710,-0.0000379,-0.0000554,-0.0000672,0.0000313,0.0001186,0.0000039,0.0000401,-0.0000064,0.0000314,0.0002288,0.0001415
-0.0047622,0.1731475,-0.0015962,-0.0041955,0.0009037,0.0002514,-0.0016373,-0.0044811,-0.0075389,0.0008642,-0.0057693,-0.0055586,-0.0017620,-0.0044485,-0.0035455,-0.0122937,-0.0122398,-0.0124283,-0.0149999,-0.0003427,0.0011650,0.0001175,-0.0010830,-0.0260112,-0.0140981
0.0000320,-0.0015962,0.0000185,0.0000192,-0.0000329,-0.0000137,-0.0000089,0.0000493,0.0000547,-0.0000261,0.0000748,0.0000396,-0.0000535,0.0000122,0.0000210,-0.0000055,0.0000022,-0.0000049,0.0000227,-0.0000001,-0.0000102,-0.0000004,0.0000054,0.0001985,0.0000716
0.0000775,-0.0041955,0.0000192,0.0070462,-0.0002095,-0.0006408,-0.0006769,-0.0001156,0.0011279,-0.0005374,0.0006510,0.0008748,0.0006053,-0.0000866,-0.0004959,0.0000899,0.0003263,0.0005138,0.0006251,-0.0000388,0.0000497,-0.0000048,0.0000071,-0.0014269,-0.0023199
0.0002117,0.0009037,-0.0000329,-0.0002095,0.0092539,-0.0021194,-0.0000030,-0.0013244,0.0001326,-0.0008379,-0.0004444,0.0000412,-0.0006736,-0.0000026,0.0002368,0.0000976,-0.0001911,0.0004294,0.0000122,0.0000980,-0.0004315,0.0000024,-0.0000338,0.0008917,0.0002765
-0.0000962,0.0002514,-0.0000137,-0.0006408,-0.0021194,0.0082981,0.0002397,-0.0002473,-0.0000865,0.0002564,-0.0003576,0.0001737,-0.0008034,-0.0001872,-0.0000410,0.0005223,0.0000843,0.0003746,0.0001862,0.0001044,-0.0003039,0.0000098,-0.0000817,0.0005583,0.0000379
0.0001987,-0.0016373,-0.0000089,-0.0006769,-0.0000030,0.0002397,0.0082672,-0.0002076,-0.0000484,0.0002617,0.0001451,-0.0002646,-0.0001315,0.0002098,0.0001568,-0.0000055,0.0000202,0.0001807,0.0000390,0.0000835,-0.0000126,0.0000093,-0.0000586,0.0003660,-0.0000813
0.0001028,-0.0044811,0.0000493,-0.0001156,-0.0013244,-0.0002473,-0.0002076,0.0077394,0.0002656,0.0000871,-0.0001299,0.0004970,-0.0013403,0.0003107,-0.0000516,-0.0003789,-0.0005845,-0.0006409,-0.0005611,-0.0000035,-0.0000667,0.0000030,-0.0001096,0.0005196,-0.0002058
-0.0001006,-0.0075389,0.0000547,0.0011279,0.0001326,-0.0000865,-0.0000484,0.0002656,0.0132995,-0.0002107,0.0007342,-0.0002208,0.0000080,0.0003669,0.0006609,0.0000455,0.0002286,0.0003654,0.0000466,-0.0002352,0.0000658,-0.0000284,0.0001010,0.0015588,0.0004532
0.0001956,0.0008642,-0.0000261,-0.0005374,-0.0008379,0.0002564,0.0002617,0.0000871,-0.0002107,0.0306103,-0.0121997,-0.0022490,-0.0007602,0.0004722,0.0007104,0.0001385,-0.0004658,0.0004855,-0.0000466,0.0000809,-0.0001329,0.0000122,-0.0000322,0.0000332,0.0005261
-0.0001781,-0.0057693,0.0000748,0.0006510,-0.0004444,-0.0003576,0.0001451,-0.0001299,0.0007342,-0.0121997,0.0422963,-0.0033216,0.0005037,-0.0002520,-0.0004814,0.0003794,-0.0001169,0.0003715,-0.0003552,-0.0001428,0.0000491,-0.0000398,-0.0001058,0.0008068,-0.0001365
-0.0000145,-0.0055586,0.0000396,0.0008748,0.0000412,0.0001737,-0.0002646,0.0004970,-0.0002208,-0.0022490,-0.0033216,0.0122576,-0.0001830,0.0006440,0.0005203,0.0000781,0.0002522,0.0002185,0.0004791,0.0000043,-0.0000571,-0.0000671,0.0000776,-0.0001766,0.0001963
0.0000383,-0.0017620,-0.0000535,0.0006053,-0.0006736,-0.0008034,-0.0001315,-0.0013403,0.0000080,-0.0007602,0.0005037,-0.0001830,0.0088583,0.0000182,0.0000918,-0.0002011,-0.0001129,-0.0002646,-0.0002274,0.0000293,-0.0000613,-0.0000036,-0.0000136,0.0009944,-0.0000576
0.0000710,-0.0044485,0.0000122,-0.0000866,-0.0000026,-0.0001872,0.0002098,0.0003107,0.0003669,0.0004722,-0.0002520,0.0006440,0.0000182,0.0074959,0.0036468,-0.0007628,-0.0009269,-0.0007809,-0.0003992,-0.0001553,0.0001312,0.0000054,0.0000112,-0.0000422,0.0000777
-0.0000379,-0.0035455,0.0000210,-0.0004959,0.0002368,-0.0000410,0.0001568,-0.0000516,0.0006609,0.0007104,-0.0004814,0.0005203,0.0000918,0.0036468,0.0139294,-0.0010068,-0.0010318,-0.0019205,-0.0018020,-0.0002281,0.0001843,-0.0000879,0.0000510,0.0003916,-0.0001055
-0.0000554,-0.0122937,-0.0000055,0.0000899,0.0000976,0.0005223,-0.0000055,-0.0003789,0.0000455,0.0001385,0.0003794,0.0000781,-0.0002011,-0.0007628,-0.0010068,0.0222846,0.0124503,0.0125927,0.0125447,0.0001875,-0.0004695,-0.0000160,0.0000632,0.0010740,0.0012691
-0.0000672,-0.0122398,0.0000022,0.0003263,-0.0001911,0.0000843,0.0000202,-0.0005845,0.0002286,-0.0004658,-0.0001169,0.0002522,-0.0001129,-0.0009269,-0.0010318,0.0124503,0.0205313,0.0125158,0.0125330,0.0001508,-0.0002373,-0.0000270,0.0000712,0.0003177,0.0007209
0.0000313,-0.0124283,-0.0000049,0.0005138,0.0004294,0.0003746,0.0001807,-0.0006409,0.0003654,0.0004855,0.0003715,0.0002185,-0.0002646,-0.0007809,-0.0019205,0.0125927,0.0125158,0.0191093,0.0127532,0.0001990,-0.0004057,-0.0000488,0.0001752,0.0002298,0.0006562
0.0001186,-0.0149999,0.0000227,0.0006251,0.0000122,0.0001862,0.0000390,-0.0005611,0.0000466,-0.0000466,-0.0003552,0.0004791,-0.0002274,-0.0003992,-0.0018020,0.0125447,0.0125330,0.0127532,0.0183163,0.0002388,-0.0003730,-0.0000439,0.0001351,0.0003092,0.0011605
0.0000039,-0.0003427,-0.0000001,-0.0000388,0.0000980,0.0001044,0.0000835,-0.0000035,-0.0002352,0.0000809,-0.0001428,0.0000043,0.0000293,-0.0001553,-0.0002281,0.0001875,0.0001508,0.0001990,0.0002388,0.0009670,-0.0007216,-0.0000445,0.0000785,0.0001341,0.0001183
0.0000401,0.0011650,-0.0000102,0.0000497,-0.0004315,-0.0003039,-0.0000126,-0.0000667,0.0000658,-0.0001329,0.0000491,-0.0000571,-0.0000613,0.0001312,0.0001843,-0.0004695,-0.0002373,-0.0004057,-0.0003730,-0.0007216,0.0014824,0.0000045,-0.0000842,-0.0005909,-0.0003176
-0.0000064,0.0001175,-0.0000004,-0.0000048,0.0000024,0.0000098,0.0000093,0.0000030,-0.0000284,0.0000122,-0.0000398,-0.0000671,-0.0000036,0.0000054,-0.0000879,-0.0000160,-0.0000270,-0.0000488,-0.0000439,-0.0000445,0.0000045,0.0000313,-0.0000624,-0.0000055,-0.0000141
0.0000314,-0.0010830,0.0000054,0.0000071,-0.0000338,-0.0000817,-0.0000586,-0.0001096,0.0001010,-0.0000322,-0.0001058,0.0000776,-0.0000136,0.0000112,0.0000510,0.0000632,0.0000712,0.0001752,0.0001351,0.0000785,-0.0000842,-0.0000624,0.0002994,0.0000151,0.0000605
0.0002288,-0.0260112,0.0001985,-0.0014269,0.0008917,0.0005583,0.0003660,0.0005196,0.0015588,0.0000332,0.0008068,-0.0001766,0.0009944,-0.0000422,0.0003916,0.0010740,0.0003177,0.0002298,0.0003092,0.0001341,-0.0005909,-0.0000055,0.0000151,0.0163553,0.0090218
0.0001415,-0.0140981,0.0000716,-0.0023199,0.0002765,0.0000379,-0.0000813,-0.0002058,0.0004532,0.0005261,-0.0001365,0.0001963,-0.0000576,0.0000777,-0.0001055,0.0012691,0.0007209,0.0006562,0.0011605,0.0001183,-0.0003176,-0.0000141,0.0000605,0.0090218,0.0118316
